iter	Passed	Remaining
869	22518	3364
870	22539	3338
871	22563	3312
872	22591	3286
873	22616	3260
874	22641	3234
875	22665	3208
876	22691	3182
877	22721	3157
878	22744	3130
879	22770	3105
880	22795	3079
881	22818	3052
882	22846	3027
883	22871	3001
884	22895	2975
885	22922	2949
886	22949	2923
887	22973	2897
888	22998	2871
889	23020	2845
890	23048	2819
891	23072	2793
892	23096	2767
893	23123	2741
894	23148	2715
895	23170	2689
896	23197	2663
897	23221	2637
898	23247	2611
899	23272	2585
900	23296	2559
901	23324	2534
902	23351	2508
903	23377	2482
904	23403	2456
905	23426	2430
906	23450	2404
907	23475	2378
908	23501	2352
909	23526	2326
910	23556	2301
911	23581	2275
912	23605	2249
913	23629	2223
914	23652	2197
915	23676	2171
916	23702	2145
917	23729	2119
918	23756	2093
919	23781	2067
920	23808	2042
921	23834	2016
922	23859	1990
923	23885	1964
924	23913	1938
925	23938	1913
926	23966	1887
927	23993	1861
928	24019	1835
929	24044	1809
930	24070	1783
931	24095	1758
932	24121	1732
933	24144	1706
934	24170	1680
935	24192	1654
936	24219	1628
937	24240	1602
938	24264	1576
939	24287	1550
940	24312	1524
941	24337	1498
942	24364	1472
943	24391	1446
944	24416	1421
945	24439	1395
946	24464	1369
947	24488	1343
948	24511	1317
949	24535	1291
950	24561	1265
951	24587	1239
952	24612	1213
953	24636	1187
954	24662	1162
955	24687	1136
956	24716	1110
957	24739	1084
958	24765	1058
959	24789	1032
960	24818	1007
961	24843	981
962	24868	955
963	24891	929
964	24915	903
965	24940	877
966	24969	852
967	24996	826
968	25024	800
969	25054	774
970	25075	748
971	25102	723
972	25127	697
973	25152	671
974	25173	645
975	25197	619
976	25224	593
977	25248	567
978	25272	542
979	25297	516
980	25319	490
981	25345	464
982	25373	438
983	25401	413
984	25425	387
985	25449	361
986	25475	335
987	25501	309
988	25526	283
989	25548	258
990	25574	232
991	25600	206
992	25626	180
993	25652	154
994	25674	129
995	25700	103
996	25724	77
997	25749	51
998	25778	25
999	25802	0
